model,context_length,noise_ratio,entropy,correct
GPT2-Small,64,0.0,4.407228469848633,1
GPT2-Small,64,0.0,4.4516748785972595,1
GPT2-Small,64,0.1,4.957946538925171,0
GPT2-Small,64,0.1,5.000304500261943,0
GPT2-Small,64,0.1,4.830385704835256,0
GPT2-Small,64,0.1,4.883309602737427,0
GPT2-Small,64,0.1,4.732743163903554,1
GPT2-Small,64,0.1,4.891636590162913,1
GPT2-Small,64,0.1,5.063220143318176,0
GPT2-Small,64,0.1,4.971953471501668,0
GPT2-Small,64,0.1,4.8074900309244795,0
GPT2-Small,64,0.1,4.892612338066101,1
GPT2-Small,64,0.1,4.971606890360515,1
GPT2-Small,64,0.1,4.869848231474559,0
GPT2-Small,64,0.1,5.0509499708811445,0
GPT2-Small,64,0.1,5.027912497520447,0
GPT2-Small,64,0.1,5.106832504272461,0
GPT2-Small,64,0.1,4.9780804713567095,0
GPT2-Small,64,0.1,4.743838528792064,0
GPT2-Small,64,0.1,4.919444978237152,1
GPT2-Small,64,0.1,4.890175064404805,1
GPT2-Small,64,0.1,4.931576212247212,0
GPT2-Small,64,0.1,4.929841260115306,1
GPT2-Small,64,0.1,4.763654410839081,0
GPT2-Small,64,0.1,4.988721470038096,0
GPT2-Small,64,0.1,4.749405006567637,1
GPT2-Small,64,0.1,4.678763151168823,1
GPT2-Small,64,0.1,4.984447618325551,0
GPT2-Small,64,0.1,4.928086578845978,0
GPT2-Small,64,0.1,4.786931037902832,0
GPT2-Small,64,0.1,4.745659490426381,0
GPT2-Small,64,0.1,4.8467719952265425,0
GPT2-Small,64,0.1,5.219429155190785,0
GPT2-Small,64,0.1,4.743246416250865,1
GPT2-Small,64,0.1,5.0335768063863116,0
GPT2-Small,64,0.1,4.711861451466878,1
GPT2-Small,64,0.1,4.847096463044484,0
GPT2-Small,64,0.1,4.862021704514821,0
